t,px1,px2,px3,px4,nx1,nx2,nx3,nx4,py1,py2,py3,py4,ny1,ny2,ny3,ny4,pz1,pz2,pz3,pz4,nz1,nz2,nz3,nz4,sx,sy,sz,sx_unit,sy_unit,sz_unit
249,0,0,0,0,0.354639607,0.86173216,0.354639607,0.016577905,0,0,0,0,0.81644048,0.478378778,0.647409629,0.985471331,-0.276192116,-0.107161265,0.568962138,0.399931287,0,0,0,0,-0.6,-1,0.2,-0.507092553,-0.924658402,0.169030851
250,0,0,0,0,0.259242194,0.827017168,0.259242194,0.015910062,0,0,0,0,0.86466078,0.459107227,0.540217938,0.94577149,-0.124577809,0.037643612,0.686529296,0.524307875,0,0,0,0,-0.6,-1,0.4,-0.486664263,-0.880587442,0.324442842
251,0,0,0,0,0.167455052,0.777449334,0.167455052,0.014956482,0,0,0,0,0.889086035,0.431590324,0.431590324,0.889086035,0.014956482,0.167455052,0.777449334,0.624950763,0,0,0,0,-0.6,-1,0.6,-0.457495711,-0.819341907,0.457495711
252,0,0,0,0,0.084580749,0.720976852,0.084580749,0.013870071,0,0,0,0,0.895215148,0.400240401,0.329529723,0.82450447,0.136344558,0.277765914,0.843451339,0.702029983,0,0,0,0,-0.6,-1,0.8,-0.424264069,-0.751730974,0.565685425
253,0,0,0,0,0.012768435,0.66371299,0.012768435,0.012768435,0,0,0,0,0.889206798,0.368451155,0.238262244,0.759017887,0.238262244,0.368451155,0.889206798,0.759017887,0,0,0,0,-0.6,-1,1,-0.390566733,-0.685253056,0.650944555
254,0,0,0,0,0.720976852,0.650266174,0.720976852,0.084580749,0,0,0,0,0.136344558,0.277765914,0.843451339,0.702029983,0,0,0,0,0.329529723,0.82450447,0.895215148,0.400240401,-0.6,-0.8,-1,-0.424264069,-0.601384779,-0.751730974
255,0,0,0,0,0.718098859,0.718098859,0.718098859,0.093403812,0,0,0,0,0.228654257,0.306741138,0.853349305,0.775262424,0,0,0,0,0.228654257,0.775262424,0.853349305,0.306741138,-0.6,-0.8,-0.8,-0.468521286,-0.673817121,-0.673817121
256,0,0,0,0,0.702814272,0.788563565,0.702814272,0.102569224,0,0,0,0,0.336840648,0.336840648,0.851336403,0.851336403,0,0,0,0,0.102569224,0.702814272,0.788563565,0.188318517,-0.6,-0.8,-0.6,-0.514495755,-0.752709929,-0.564532447
257,0,0,0,0,0.668145979,0.853841317,0.668145979,0.111059964,0,0,0,0,0.457572183,0.364724514,0.828962859,0.921810528,0,0,0,0,-0.049756916,0.600176768,0.693024437,0.043090753,-0.6,-0.8,-0.4,-0.557086015,-0.829739814,-0.414869907
258,0,0,0,0,0.607582733,0.901756936,0.607582733,0.117292395,0,0,0,0,0.581308153,0.385192018,0.777424288,0.973540423,0,0,0,0,-0.222390715,0.464015758,0.562073825,-0.124332648,-0.6,-0.8,-0.2,-0.588348405,-0.889108449,-0.222277112
259,0,0,0,0,0.519615242,0.919615242,0.519615242,0.119615242,0,0,0,0,0.692820323,0.392820323,0.692820323,0.992820323,0,0,0,0,0,0,0,0,-0.6,-0.8,0,-0.6,-0.911921505,0
260,0,0,0,0,0.411466598,0.901756936,0.411466598,0.117292395,0,0,0,0,0.777424288,0.385192018,0.581308153,0.973540423,-0.222390715,-0.124332648,0.562073825,0.464015758,0,0,0,0,-0.6,-0.8,0.2,-0.588348405,-0.889108449,0.222277112
261,0,0,0,0,0.296755302,0.853841317,0.296755302,0.111059964,0,0,0,0,0.828962859,0.364724514,0.457572183,0.921810528,-0.049756916,0.043090753,0.693024437,0.600176768,0,0,0,0,-0.6,-0.8,0.4,-0.557086015,-0.829739814,0.414869907
262,0,0,0,0,0.188318517,0.788563565,0.188318517,0.102569224,0,0,0,0,0.851336403,0.336840648,0.336840648,0.851336403,0.102569224,0.188318517,0.788563565,0.702814272,0,0,0,0,-0.6,-0.8,0.6,-0.514495755,-0.752709929,0.564532447
263,0,0,0,0,0.093403812,0.718098859,0.093403812,0.093403812,0,0,0,0,0.853349305,0.306741138,0.228654257,0.775262424,0.228654257,0.306741138,0.853349305,0.775262424,0,0,0,0,-0.6,-0.8,0.8,-0.468521286,-0.673817121,0.673817121
264,0,0,0,0,0.013870071,0.650266174,0.013870071,0.084580749,0,0,0,0,0.843451339,0.277765914,0.136344558,0.702029983,0.329529723,0.400240401,0.895215148,0.82450447,0,0,0,0,-0.6,-0.8,1,-0.424264069,-0.601384779,0.751730974
265,0,0,0,0,0.777449334,0.624950763,0.777449334,0.167455052,0,0,0,0,0.014956482,0.167455052,0.777449334,0.624950763,0,0,0,0,0.431590324,0.889086035,0.889086035,0.431590324,-0.6,-0.6,-1,-0.457495711,-0.491605144,-0.819341907
266,0,0,0,0,0.788563565,0.702814272,0.788563565,0.188318517,0,0,0,0,0.102569224,0.188318517,0.788563565,0.702814272,0,0,0,0,0.336840648,0.851336403,0.851336403,0.336840648,-0.6,-0.6,-0.8,-0.514495755,-0.564532447,-0.752709929
267,0,0,0,0,0.788675135,0.788675135,0.788675135,0.211324865,0,0,0,0,0.211324865,0.211324865,0.788675135,0.788675135,0,0,0,0,0.211324865,0.788675135,0.788675135,0.211324865,-0.6,-0.6,-0.6,-0.577350269,-0.650944555,-0.650944555
268,0,0,0,0,0.767112426,0.873712784,0.767112426,0.234110635,0,0,0,0,0.340710993,0.234110635,0.767112426,0.873712784,0,0,0,0,0.049473398,0.689075547,0.689075547,0.049473398,-0.6,-0.6,-0.4,-0.639602149,-0.7444375,-0.496291667
269,0,0,0,0,0.710747428,0.940163161,0.710747428,0.25191596,0,0,0,0,0.481331694,0.25191596,0.710747428,0.940163161,0,0,0,0,-0.145443747,0.542803454,0.542803454,-0.145443747,-0.6,-0.6,-0.2,-0.688247202,-0.824474565,-0.274824855
270,0,0,0,0,0.612372436,0.965925826,0.612372436,0.258819045,0,0,0,0,0.612372436,0.258819045,0.612372436,0.965925826,0,0,0,0,0,0,0,0,-0.6,-0.6,0,-0.707106781,-0.857492926,0
271,0,0,0,0,0.481331694,0.940163161,0.481331694,0.25191596,0,0,0,0,0.710747428,0.25191596,0.481331694,0.940163161,-0.145443747,-0.145443747,0.542803454,0.542803454,0,0,0,0,-0.6,-0.6,0.2,-0.688247202,-0.824474565,0.274824855
272,0,0,0,0,0.340710993,0.873712784,0.340710993,0.234110635,0,0,0,0,0.767112426,0.234110635,0.340710993,0.873712784,0.049473398,0.049473398,0.689075547,0.689075547,0,0,0,0,-0.6,-0.6,0.4,-0.639602149,-0.7444375,0.496291667
273,0,0,0,0,0.211324865,0.788675135,0.211324865,0.211324865,0,0,0,0,0.788675135,0.211324865,0.211324865,0.788675135,0.211324865,0.211324865,0.788675135,0.788675135,0,0,0,0,-0.6,-0.6,0.6,-0.577350269,-0.650944555,0.650944555
274,0,0,0,0,0.102569224,0.702814272,0.102569224,0.188318517,0,0,0,0,0.788563565,0.188318517,0.102569224,0.702814272,0.336840648,0.336840648,0.851336403,0.851336403,0,0,0,0,-0.6,-0.6,0.8,-0.514495755,-0.564532447,0.752709929
275,0,0,0,0,0.014956482,0.624950763,0.014956482,0.167455052,0,0,0,0,0.777449334,0.167455052,0.014956482,0.624950763,0.431590324,0.431590324,0.889086035,0.889086035,0,0,0,0,-0.6,-0.6,1,-0.457495711,-0.491605144,0.819341907
276,0,0,0,0,0.827017168,0.583685036,0.827017168,0.259242194,0,0,0,0,-0.124577809,0.037643612,0.686529296,0.524307875,0,0,0,0,0.540217938,0.94577149,0.86466078,0.459107227,-0.6,-0.4,-1,-0.486664263,-0.352234977,-0.849534583
277,0,0,0,0,0.853841317,0.668145979,0.853841317,0.296755302,0,0,0,0,-0.049756916,0.043090753,0.693024437,0.600176768,0,0,0,0,0.457572183,0.921810528,0.828962859,0.364724514,-0.6,-0.4,-0.8,-0.557086015,-0.414869907,-0.789952506
278,0,0,0,0,0.873712784,0.767112426,0.873712784,0.340710993,0,0,0,0,0.049473398,0.049473398,0.689075547,0.689075547,0,0,0,0,0.340710993,0.873712784,0.767112426,0.234110635,-0.6,-0.4,-0.6,-0.639602149,-0.496291667,-0.694861582
279,0,0,0,0,0.872661663,0.872661663,0.872661663,0.387590413,0,0,0,0,0.1775484,0.056280588,0.66261965,0.783887463,0,0,0,0,0.1775484,0.783887463,0.66261965,0.056280588,-0.6,-0.4,-0.4,-0.727606875,-0.596549986,-0.541530361
280,0,0,0,0,0.827995696,0.961626317,0.827995696,0.427103833,0,0,0,0,0.329279429,0.062018187,0.596540671,0.863801913,0,0,0,0,-0.035806217,0.632346888,0.498716267,-0.169436838,-0.6,-0.4,-0.2,-0.801783726,-0.696733014,-0.30656967
281,0,0,0,0,0.720576692,0.99792679,0.720576692,0.443226594,0,0,0,0,0.480384461,0.064359314,0.480384461,0.896409609,0,0,0,0,0,0,0,0,-0.6,-0.4,0,-0.832050294,-0.743294146,0
282,0,0,0,0,0.560734454,0.961626317,0.560734454,0.427103833,0,0,0,0,0.596540671,0.062018187,0.329279429,0.863801913,-0.035806217,-0.169436838,0.498716267,0.632346888,0,0,0,0,-0.6,-0.4,0.2,-0.801783726,-0.696733014,0.30656967
283,0,0,0,0,0.387590413,0.872661663,0.387590413,0.387590413,0,0,0,0,0.66261965,0.056280588,0.1775484,0.783887463,0.1775484,0.056280588,0.66261965,0.783887463,0,0,0,0,-0.6,-0.4,0.4,-0.727606875,-0.596549986,0.541530361
284,0,0,0,0,0.234110635,0.767112426,0.234110635,0.340710993,0,0,0,0,0.689075547,0.049473398,0.049473398,0.689075547,0.340710993,0.234110635,0.767112426,0.873712784,0,0,0,0,-0.6,-0.4,0.6,-0.639602149,-0.496291667,0.694861582
285,0,0,0,0,0.111059964,0.668145979,0.111059964,0.296755302,0,0,0,0,0.693024437,0.043090753,-0.049756916,0.600176768,0.457572183,0.364724514,0.828962859,0.921810528,0,0,0,0,-0.6,-0.4,0.8,-0.557086015,-0.414869907,0.789952506
286,0,0,0,0,0.015910062,0.583685036,0.015910062,0.259242194,0,0,0,0,0.686529296,0.037643612,-0.124577809,0.524307875,0.540217938,0.459107227,0.86466078,0.94577149,0,0,0,0,-0.6,-0.4,1,-0.486664263,-0.352234977,0.849534583
287,0,0,0,0,0.86173216,0.523670458,0.86173216,0.354639607,0,0,0,0,-0.276192116,-0.107161265,0.568962138,0.399931287,0,0,0,0,0.647409629,0.985471331,0.81644048,0.478378778,-0.6,-0.2,-1,-0.507092553,-0.18493168,-0.856988963
288,0,0,0,0,0.901756936,0.607582733,0.901756936,0.411466598,0,0,0,0,-0.222390715,-0.124332648,0.562073825,0.464015758,0,0,0,0,0.581308153,0.973540423,0.777424288,0.385192018,-0.6,-0.2,-0.8,-0.588348405,-0.222277112,-0.799360767
289,0,0,0,0,0.940163161,0.710747428,0.940163161,0.481331694,0,0,0,0,-0.145443747,-0.145443747,0.542803454,0.542803454,0,0,0,0,0.481331694,0.940163161,0.710747428,0.25191596,-0.6,-0.2,-0.6,-0.688247202,-0.274824855,-0.706322414
290,0,0,0,0,0.961626317,0.827995696,0.961626317,0.560734454,0,0,0,0,-0.035806217,-0.169436838,0.498716267,0.632346888,0,0,0,0,0.329279429,0.863801913,0.596540671,0.062018187,-0.6,-0.2,-0.4,-0.801783726,-0.348366507,-0.553848776
291,0,0,0,0,0.934105124,0.934105124,0.934105124,0.63259378,0,0,0,0,0.110360812,-0.191150533,0.411872156,0.713383501,0,0,0,0,0.110360812,0.713383501,0.411872156,-0.191150533,-0.6,-0.2,-0.2,-0.904534034,-0.436852028,-0.315597202
292,0,0,0,0,0.821583836,0.979697719,0.821583836,0.663469953,0,0,0,0,0.273861279,-0.20048037,0.273861279,0.748202928,0,0,0,0,0,0,0,0,-0.6,-0.2,0,-0.948683298,-0.485642931,0
293,0,0,0,0,0.63259378,0.934105124,0.63259378,0.63259378,0,0,0,0,0.411872156,-0.191150533,0.110360812,0.713383501,0.110360812,-0.191150533,0.411872156,0.713383501,0,0,0,0,-0.6,-0.2,0.2,-0.904534034,-0.436852028,0.315597202
294,0,0,0,0,0.427103833,0.827995696,0.427103833,0.560734454,0,0,0,0,0.498716267,-0.169436838,-0.035806217,0.632346888,0.329279429,0.062018187,0.596540671,0.863801913,0,0,0,0,-0.6,-0.2,0.4,-0.801783726,-0.348366507,0.553848776
295,0,0,0,0,0.25191596,0.710747428,0.25191596,0.481331694,0,0,0,0,0.542803454,-0.145443747,-0.145443747,0.542803454,0.481331694,0.25191596,0.710747428,0.940163161,0,0,0,0,-0.6,-0.2,0.6,-0.688247202,-0.274824855,0.706322414
296,0,0,0,0,0.117292395,0.607582733,0.117292395,0.411466598,0,0,0,0,0.562073825,-0.124332648,-0.222390715,0.464015758,0.581308153,0.385192018,0.777424288,0.973540423,0,0,0,0,-0.6,-0.2,0.8,-0.588348405,-0.222277112,0.799360767
297,0,0,0,0,0.016577905,0.523670458,0.016577905,0.354639607,0,0,0,0,0.568962138,-0.107161265,-0.276192116,0.399931287,0.647409629,0.478378778,0.81644048,0.985471331,0,0,0,0,-0.6,-0.2,1,-0.507092553,-0.18493168,0.856988963
298,0,0,0,0,0.874312857,0.445566394,0.874312857,0.445566394,0,0,0,0,0,0,0,0,0,0,0,0,0.742610657,0.999858535,0.742610657,0.48536278,-0.6,0,-1,-0.514495755,0,-0.857492926
299,0,0,0,0,0.919615242,0.519615242,0.919615242,0.519615242,0,0,0,0,0,0,0,0,0,0,0,0,0.692820323,0.992820323,0.692820323,0.392820323,-0.6,0,-0.8,-0.6,0,-0.8
300,0,0,0,0,0.965925826,0.612372436,0.965925826,0.612372436,0,0,0,0,0,0,0,0,0,0,0,0,0.612372436,0.965925826,0.612372436,0.258819045,-0.6,0,-0.6,-0.707106781,0,-0.707106781
301,0,0,0,0,0.99792679,0.720576692,0.99792679,0.720576692,0,0,0,0,0,0,0,0,0,0,0,0,0.480384461,0.896409609,0.480384461,0.064359314,-0.6,0,-0.4,-0.832050294,0,-0.554700196
302,0,0,0,0,0.979697719,0.821583836,0.979697719,0.821583836,0,0,0,0,0,0,0,0,0,0,0,0,0.273861279,0.748202928,0.273861279,-0.20048037,-0.6,0,-0.2,-0.948683298,0,-0.316227766
303,0,0,0,0,0.866025404,0.866025404,0.866025404,0.866025404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0,0,-1,0,0
304,0,0,0,0,0.663469953,0.821583836,0.663469953,0.821583836,0,0,0,0,0,0,0,0,0.273861279,-0.20048037,0.273861279,0.748202928,0,0,0,0,-0.6,0,0.2,-0.948683298,0,0.316227766
305,0,0,0,0,0.443226594,0.720576692,0.443226594,0.720576692,0,0,0,0,0,0,0,0,0.480384461,0.064359314,0.480384461,0.896409609,0,0,0,0,-0.6,0,0.4,-0.832050294,0,0.554700196
306,0,0,0,0,0.258819045,0.612372436,0.258819045,0.612372436,0,0,0,0,0,0,0,0,0.612372436,0.258819045,0.612372436,0.965925826,0,0,0,0,-0.6,0,0.6,-0.707106781,0,0.707106781
307,0,0,0,0,0.119615242,0.519615242,0.119615242,0.519615242,0,0,0,0,0,0,0,0,0.692820323,0.392820323,0.692820323,0.992820323,0,0,0,0,-0.6,0,0.8,-0.6,0,0.8
308,0,0,0,0,0.016819931,0.445566394,0.016819931,0.445566394,0,0,0,0,0,0,0,0,0.742610657,0.48536278,0.742610657,0.999858535,0,0,0,0,-0.6,0,1,-0.514495755,0,0.857492926
309,0,0,0,0,0.86173216,0.354639607,0.86173216,0.523670458,-0.276192116,0.399931287,0.568962138,-0.107161265,0,0,0,0,0,0,0,0,0.81644048,0.985471331,0.647409629,0.478378778,-0.6,0.2,-1,-0.507092553,0.18493168,-0.856988963
310,0,0,0,0,0.901756936,0.411466598,0.901756936,0.607582733,-0.222390715,0.464015758,0.562073825,-0.124332648,0,0,0,0,0,0,0,0,0.777424288,0.973540423,0.581308153,0.385192018,-0.6,0.2,-0.8,-0.588348405,0.222277112,-0.799360767
311,0,0,0,0,0.940163161,0.481331694,0.940163161,0.710747428,-0.145443747,0.542803454,0.542803454,-0.145443747,0,0,0,0,0,0,0,0,0.710747428,0.940163161,0.481331694,0.25191596,-0.6,0.2,-0.6,-0.688247202,0.274824855,-0.706322414
312,0,0,0,0,0.961626317,0.560734454,0.961626317,0.827995696,-0.035806217,0.632346888,0.498716267,-0.169436838,0,0,0,0,0,0,0,0,0.596540671,0.863801913,0.329279429,0.062018187,-0.6,0.2,-0.4,-0.801783726,0.348366507,-0.553848776
313,0,0,0,0,0.934105124,0.63259378,0.934105124,0.934105124,0.110360812,0.713383501,0.411872156,-0.191150533,0,0,0,0,0,0,0,0,0.411872156,0.713383501,0.110360812,-0.191150533,-0.6,0.2,-0.2,-0.904534034,0.436852028,-0.315597202
314,0,0,0,0,0.821583836,0.663469953,0.821583836,0.979697719,0.273861279,0.748202928,0.273861279,-0.20048037,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.2,0,-0.948683298,0.485642931,0
315,0,0,0,0,0.63259378,0.63259378,0.63259378,0.934105124,0.411872156,0.713383501,0.110360812,-0.191150533,0,0,0,0,0.411872156,-0.191150533,0.110360812,0.713383501,0,0,0,0,-0.6,0.2,0.2,-0.904534034,0.436852028,0.315597202
316,0,0,0,0,0.427103833,0.560734454,0.427103833,0.827995696,0.498716267,0.632346888,-0.035806217,-0.169436838,0,0,0,0,0.596540671,0.062018187,0.329279429,0.863801913,0,0,0,0,-0.6,0.2,0.4,-0.801783726,0.348366507,0.553848776
317,0,0,0,0,0.25191596,0.481331694,0.25191596,0.710747428,0.542803454,0.542803454,-0.145443747,-0.145443747,0,0,0,0,0.710747428,0.25191596,0.481331694,0.940163161,0,0,0,0,-0.6,0.2,0.6,-0.688247202,0.274824855,0.706322414
318,0,0,0,0,0.117292395,0.411466598,0.117292395,0.607582733,0.562073825,0.464015758,-0.222390715,-0.124332648,0,0,0,0,0.777424288,0.385192018,0.581308153,0.973540423,0,0,0,0,-0.6,0.2,0.8,-0.588348405,0.222277112,0.799360767
319,0,0,0,0,0.016577905,0.354639607,0.016577905,0.523670458,0.568962138,0.399931287,-0.276192116,-0.107161265,0,0,0,0,0.81644048,0.478378778,0.647409629,0.985471331,0,0,0,0,-0.6,0.2,1,-0.507092553,0.18493168,0.856988963
320,0,0,0,0,0.827017168,0.259242194,0.827017168,0.583685036,-0.124577809,0.524307875,0.686529296,0.037643612,0,0,0,0,0,0,0,0,0.86466078,0.94577149,0.540217938,0.459107227,-0.6,0.4,-1,-0.486664263,0.352234977,-0.849534583
321,0,0,0,0,0.853841317,0.296755302,0.853841317,0.668145979,-0.049756916,0.600176768,0.693024437,0.043090753,0,0,0,0,0,0,0,0,0.828962859,0.921810528,0.457572183,0.364724514,-0.6,0.4,-0.8,-0.557086015,0.414869907,-0.789952506
322,0,0,0,0,0.873712784,0.340710993,0.873712784,0.767112426,0.049473398,0.689075547,0.689075547,0.049473398,0,0,0,0,0,0,0,0,0.767112426,0.873712784,0.340710993,0.234110635,-0.6,0.4,-0.6,-0.639602149,0.496291667,-0.694861582
323,0,0,0,0,0.872661663,0.387590413,0.872661663,0.872661663,0.1775484,0.783887463,0.66261965,0.056280588,0,0,0,0,0,0,0,0,0.66261965,0.783887463,0.1775484,0.056280588,-0.6,0.4,-0.4,-0.727606875,0.596549986,-0.541530361
324,0,0,0,0,0.827995696,0.427103833,0.827995696,0.961626317,0.329279429,0.863801913,0.596540671,0.062018187,0,0,0,0,0,0,0,0,0.498716267,0.632346888,-0.035806217,-0.169436838,-0.6,0.4,-0.2,-0.801783726,0.696733014,-0.30656967
325,0,0,0,0,0.720576692,0.443226594,0.720576692,0.99792679,0.480384461,0.896409609,0.480384461,0.064359314,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.4,0,-0.832050294,0.743294146,0
326,0,0,0,0,0.560734454,0.427103833,0.560734454,0.961626317,0.596540671,0.863801913,0.329279429,0.062018187,0,0,0,0,0.498716267,-0.169436838,-0.035806217,0.632346888,0,0,0,0,-0.6,0.4,0.2,-0.801783726,0.696733014,0.30656967
327,0,0,0,0,0.387590413,0.387590413,0.387590413,0.872661663,0.66261965,0.783887463,0.1775484,0.056280588,0,0,0,0,0.66261965,0.056280588,0.1775484,0.783887463,0,0,0,0,-0.6,0.4,0.4,-0.727606875,0.596549986,0.541530361
328,0,0,0,0,0.234110635,0.340710993,0.234110635,0.767112426,0.689075547,0.689075547,0.049473398,0.049473398,0,0,0,0,0.767112426,0.234110635,0.340710993,0.873712784,0,0,0,0,-0.6,0.4,0.6,-0.639602149,0.496291667,0.694861582
329,0,0,0,0,0.111059964,0.296755302,0.111059964,0.668145979,0.693024437,0.600176768,-0.049756916,0.043090753,0,0,0,0,0.828962859,0.364724514,0.457572183,0.921810528,0,0,0,0,-0.6,0.4,0.8,-0.557086015,0.414869907,0.789952506
330,0,0,0,0,0.015910062,0.259242194,0.015910062,0.583685036,0.686529296,0.524307875,-0.124577809,0.037643612,0,0,0,0,0.86466078,0.459107227,0.540217938,0.94577149,0,0,0,0,-0.6,0.4,1,-0.486664263,0.352234977,0.849534583
331,0,0,0,0,0.777449334,0.167455052,0.777449334,0.624950763,0.014956482,0.624950763,0.777449334,0.167455052,0,0,0,0,0,0,0,0,0.889086035,0.889086035,0.431590324,0.431590324,-0.6,0.6,-1,-0.457495711,0.491605144,-0.819341907
332,0,0,0,0,0.788563565,0.188318517,0.788563565,0.702814272,0.102569224,0.702814272,0.788563565,0.188318517,0,0,0,0,0,0,0,0,0.851336403,0.851336403,0.336840648,0.336840648,-0.6,0.6,-0.8,-0.514495755,0.564532447,-0.752709929
333,0,0,0,0,0.788675135,0.211324865,0.788675135,0.788675135,0.211324865,0.788675135,0.788675135,0.211324865,0,0,0,0,0,0,0,0,0.788675135,0.788675135,0.211324865,0.211324865,-0.6,0.6,-0.6,-0.577350269,0.650944555,-0.650944555
334,0,0,0,0,0.767112426,0.234110635,0.767112426,0.873712784,0.340710993,0.873712784,0.767112426,0.234110635,0,0,0,0,0,0,0,0,0.689075547,0.689075547,0.049473398,0.049473398,-0.6,0.6,-0.4,-0.639602149,0.7444375,-0.496291667
335,0,0,0,0,0.710747428,0.25191596,0.710747428,0.940163161,0.481331694,0.940163161,0.710747428,0.25191596,0,0,0,0,0,0,0,0,0.542803454,0.542803454,-0.145443747,-0.145443747,-0.6,0.6,-0.2,-0.688247202,0.824474565,-0.274824855
336,0,0,0,0,0.612372436,0.258819045,0.612372436,0.965925826,0.612372436,0.965925826,0.612372436,0.258819045,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.6,0,-0.707106781,0.857492926,0
337,0,0,0,0,0.481331694,0.25191596,0.481331694,0.940163161,0.710747428,0.940163161,0.481331694,0.25191596,0,0,0,0,0.542803454,-0.145443747,-0.145443747,0.542803454,0,0,0,0,-0.6,0.6,0.2,-0.688247202,0.824474565,0.274824855
338,0,0,0,0,0.340710993,0.234110635,0.340710993,0.873712784,0.767112426,0.873712784,0.340710993,0.234110635,0,0,0,0,0.689075547,0.049473398,0.049473398,0.689075547,0,0,0,0,-0.6,0.6,0.4,-0.639602149,0.7444375,0.496291667
339,0,0,0,0,0.211324865,0.211324865,0.211324865,0.788675135,0.788675135,0.788675135,0.211324865,0.211324865,0,0,0,0,0.788675135,0.211324865,0.211324865,0.788675135,0,0,0,0,-0.6,0.6,0.6,-0.577350269,0.650944555,0.650944555
340,0,0,0,0,0.102569224,0.188318517,0.102569224,0.702814272,0.788563565,0.702814272,0.102569224,0.188318517,0,0,0,0,0.851336403,0.336840648,0.336840648,0.851336403,0,0,0,0,-0.6,0.6,0.8,-0.514495755,0.564532447,0.752709929
341,0,0,0,0,0.014956482,0.167455052,0.014956482,0.624950763,0.777449334,0.624950763,0.014956482,0.167455052,0,0,0,0,0.889086035,0.431590324,0.431590324,0.889086035,0,0,0,0,-0.6,0.6,1,-0.457495711,0.491605144,0.819341907
342,0,0,0,0,0.720976852,0.084580749,0.720976852,0.650266174,0.136344558,0.702029983,0.843451339,0.277765914,0,0,0,0,0,0,0,0,0.895215148,0.82450447,0.329529723,0.400240401,-0.6,0.8,-1,-0.424264069,0.601384779,-0.751730974
343,0,0,0,0,0.718098859,0.093403812,0.718098859,0.718098859,0.228654257,0.775262424,0.853349305,0.306741138,0,0,0,0,0,0,0,0,0.853349305,0.775262424,0.228654257,0.306741138,-0.6,0.8,-0.8,-0.468521286,0.673817121,-0.673817121
344,0,0,0,0,0.702814272,0.102569224,0.702814272,0.788563565,0.336840648,0.851336403,0.851336403,0.336840648,0,0,0,0,0,0,0,0,0.788563565,0.702814272,0.102569224,0.188318517,-0.6,0.8,-0.6,-0.514495755,0.752709929,-0.564532447
345,0,0,0,0,0.668145979,0.111059964,0.668145979,0.853841317,0.457572183,0.921810528,0.828962859,0.364724514,0,0,0,0,0,0,0,0,0.693024437,0.600176768,-0.049756916,0.043090753,-0.6,0.8,-0.4,-0.557086015,0.829739814,-0.414869907
346,0,0,0,0,0.607582733,0.117292395,0.607582733,0.901756936,0.581308153,0.973540423,0.777424288,0.385192018,0,0,0,0,0,0,0,0,0.562073825,0.464015758,-0.222390715,-0.124332648,-0.6,0.8,-0.2,-0.588348405,0.889108449,-0.222277112
347,0,0,0,0,0.519615242,0.119615242,0.519615242,0.919615242,0.692820323,0.992820323,0.692820323,0.392820323,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.8,0,-0.6,0.911921505,0
348,0,0,0,0,0.411466598,0.117292395,0.411466598,0.901756936,0.777424288,0.973540423,0.581308153,0.385192018,0,0,0,0,0.562073825,-0.124332648,-0.222390715,0.464015758,0,0,0,0,-0.6,0.8,0.2,-0.588348405,0.889108449,0.222277112
349,0,0,0,0,0.296755302,0.111059964,0.296755302,0.853841317,0.828962859,0.921810528,0.457572183,0.364724514,0,0,0,0,0.693024437,0.043090753,-0.049756916,0.600176768,0,0,0,0,-0.6,0.8,0.4,-0.557086015,0.829739814,0.414869907
350,0,0,0,0,0.188318517,0.102569224,0.188318517,0.788563565,0.851336403,0.851336403,0.336840648,0.336840648,0,0,0,0,0.788563565,0.188318517,0.102569224,0.702814272,0,0,0,0,-0.6,0.8,0.6,-0.514495755,0.752709929,0.564532447
351,0,0,0,0,0.093403812,0.093403812,0.093403812,0.718098859,0.853349305,0.775262424,0.228654257,0.306741138,0,0,0,0,0.853349305,0.306741138,0.228654257,0.775262424,0,0,0,0,-0.6,0.8,0.8,-0.468521286,0.673817121,0.673817121
352,0,0,0,0,0.013870071,0.084580749,0.013870071,0.650266174,0.843451339,0.702029983,0.136344558,0.277765914,0,0,0,0,0.895215148,0.400240401,0.329529723,0.82450447,0,0,0,0,-0.6,0.8,1,-0.424264069,0.601384779,0.751730974
353,0,0,0,0,0.66371299,0.012768435,0.66371299,0.66371299,0.238262244,0.759017887,0.889206798,0.368451155,0,0,0,0,0,0,0,0,0.889206798,0.759017887,0.238262244,0.368451155,-0.6,1,-1,-0.390566733,0.685253056,-0.650944555
354,0,0,0,0,0.650266174,0.013870071,0.650266174,0.720976852,0.329529723,0.82450447,0.895215148,0.400240401,0,0,0,0,0,0,0,0,0.843451339,0.702029983,0.136344558,0.277765914,-0.6,1,-0.8,-0.424264069,0.751730974,-0.565685425
355,0,0,0,0,0.624950763,0.014956482,0.624950763,0.777449334,0.431590324,0.889086035,0.889086035,0.431590324,0,0,0,0,0,0,0,0,0.777449334,0.624950763,0.014956482,0.167455052,-0.6,1,-0.6,-0.457495711,0.819341907,-0.457495711
356,0,0,0,0,0.583685036,0.015910062,0.583685036,0.827017168,0.540217938,0.94577149,0.86466078,0.459107227,0,0,0,0,0,0,0,0,0.686529296,0.524307875,-0.124577809,0.037643612,-0.6,1,-0.4,-0.486664263,0.880587442,-0.324442842
