t,px1,px2,px3,px4,nx1,nx2,nx3,nx4,py1,py2,py3,py4,ny1,ny2,ny3,ny4,pz1,pz2,pz3,pz4,nz1,nz2,nz3,nz4,sx,sy,sz,sx_unit,sy_unit,sz_unit
32,0,0,0,0,0.329529723,0.82450447,0.329529723,0.400240401,0,0,0,0,0.650266174,0.013870071,0.084580749,0.720976852,0.277765914,0.136344558,0.702029983,0.843451339,0,0,0,0,-1,-0.6,0.8,-0.707106781,-0.424264069,0.601384779
33,0,0,0,0,0.238262244,0.759017887,0.238262244,0.368451155,0,0,0,0,0.66371299,0.012768435,0.012768435,0.66371299,0.368451155,0.238262244,0.759017887,0.889206798,0,0,0,0,-1,-0.6,1,-0.650944555,-0.390566733,0.685253056
34,0,0,0,0,0.92946256,0.725338414,0.92946256,0.453172888,0,0,0,0,-0.104504648,-0.104504648,0.575909169,0.575909169,0,0,0,0,0.453172888,0.92946256,0.725338414,0.249048742,-1,-0.4,-1,-0.680413817,-0.272165527,-0.702624284
35,0,0,0,0,0.943639621,0.794568423,0.943639621,0.496426026,0,0,0,0,-0.039943507,-0.114479107,0.556341287,0.630876886,0,0,0,0,0.367326581,0.889075776,0.665468978,0.143719783,-1,-0.4,-0.8,-0.745355992,-0.298142397,-0.619875727
36,0,0,0,0,0.94577149,0.86466078,0.94577149,0.540217938,0,0,0,0,0.037643612,-0.124577809,0.524307875,0.686529296,0,0,0,0,0.259242194,0.827017168,0.583685036,0.015910062,-1,-0.4,-0.6,-0.811107106,-0.324442842,-0.50972075
37,0,0,0,0,0.927856017,0.927856017,0.927856017,0.579700705,0,0,0,0,0.127433689,-0.133682795,0.475589001,0.736705484,0,0,0,0,0.127433689,0.736705484,0.475589001,-0.133682795,-1,-0.4,-0.4,-0.87038828,-0.348155312,-0.367359179
38,0,0,0,0,0.881856508,0.973143601,0.881856508,0.607995229,0,0,0,0,0.224940673,-0.140207699,0.407514859,0.772663231,0,0,0,0,-0.024460303,0.614549348,0.340688069,-0.298321582,-1,-0.4,-0.2,-0.912870929,-0.365148372,-0.193746065
39,0,0,0,0,0.804084401,0.989779739,0.804084401,0.618389063,0,0,0,0,0.32163376,-0.142604585,0.32163376,0.785872106,0,0,0,0,0,0,0,0,-1,-0.4,0,-0.928476691,-0.371390676,0
40,0,0,0,0,0.699282322,0.973143601,0.699282322,0.607995229,0,0,0,0,0.407514859,-0.140207699,0.224940673,0.772663231,-0.024460303,-0.298321582,0.340688069,0.614549348,0,0,0,0,-1,-0.4,0.2,-0.912870929,-0.365148372,0.193746065
41,0,0,0,0,0.579700705,0.927856017,0.579700705,0.579700705,0,0,0,0,0.475589001,-0.133682795,0.127433689,0.736705484,0.127433689,-0.133682795,0.475589001,0.736705484,0,0,0,0,-1,-0.4,0.4,-0.87038828,-0.348155312,0.367359179
42,0,0,0,0,0.459107227,0.86466078,0.459107227,0.540217938,0,0,0,0,0.524307875,-0.124577809,0.037643612,0.686529296,0.259242194,0.015910062,0.583685036,0.827017168,0,0,0,0,-1,-0.4,0.6,-0.811107106,-0.324442842,0.50972075
43,0,0,0,0,0.347354827,0.794568423,0.347354827,0.496426026,0,0,0,0,0.556341287,-0.114479107,-0.039943507,0.630876886,0.367326581,0.143719783,0.665468978,0.889075776,0,0,0,0,-1,-0.4,0.8,-0.745355992,-0.298142397,0.619875727
44,0,0,0,0,0.249048742,0.725338414,0.249048742,0.453172888,0,0,0,0,0.575909169,-0.104504648,-0.104504648,0.575909169,0.453172888,0.249048742,0.725338414,0.92946256,0,0,0,0,-1,-0.4,1,-0.680413817,-0.272165527,0.702624284
45,0,0,0,0,0.956409084,0.676353067,0.956409084,0.536325058,0,0,0,0,-0.228802208,-0.228802208,0.471337834,0.471337834,0,0,0,0,0.536325058,0.956409084,0.676353067,0.256269042,-1,-0.2,-1,-0.700140042,-0.140028008,-0.706824108
